PC1,PC2
-578.6945087562228,477.24276535805905
3352.9379861495327,-464.1241995700587
-1321.4329696171287,-127.30145510681534
26316.20040155119,16348.325815201539
-1655.114532572189,143.70641192409622
-1003.0702408274062,161.01550375953283
9925.694623235058,953.9952890299284
-1148.5362005015518,-68.97082499229555
23345.19645144593,12927.496104850952
11408.972872508308,6726.927106372466
2672.9709845835123,814.3981468170897
8191.875062266892,-1775.2180609286472
-1239.6968287018308,100.7602359734332
3365.436768499814,-444.0791979637744
438.1646923963865,271.3080749696113
1381.3428546358434,-161.95697894008347
-1494.4330004256185,-62.931597534093896
23357.92594404575,12947.911224752566
9144.445891011826,-1995.994670896375
-786.2423283038386,283.2888811865546
-611.7738282827481,312.8851834197708
8182.875304757237,-1755.7107828429023
-713.0391238741611,292.9828212154109
-608.6386409685335,317.9135539712406
4308.797051758251,-734.4982229185413
-797.4372859337384,-279.05375831853297
12039.540304818667,-2879.517767801972
19403.63973370316,5687.392158623449
8088.743033430605,-2096.746162694028
450.34826431628903,290.84738235433724
-1088.1775801118326,71.4552183561793
9913.089524079242,933.7804987168571
2884.9132555279366,1719.9888178608921
25204.992018261353,4171.310683461483
-800.5047564729664,185.46381220591027
-813.133570014353,330.6443958898385
-1054.214504665085,133.62772361026467
-616.0529360539656,354.6752533149307
15521.305004009915,6674.4327508340275
8144.986272474551,-1894.5404036146278
8180.358504196838,-1738.8161195582059
-673.2428746230883,311.57902303567994
-1313.6464570940357,23.608534128658988
-599.1501295145404,253.22213133483152
1408.5869979323722,17.501620048553747
24018.953170304478,7572.92948350759
9155.19870204843,-1978.750295159584
24555.882214634305,13631.487575931242
-556.4753562793212,473.02135487485305
-1184.561279586228,-215.41866643455594
-1235.2680633184682,-245.81875361332553
-1145.6191094071542,-116.692647041738
-572.6801084892468,465.3853542130515
-796.2332840572383,166.32379366290385
-501.47294067420853,567.6983067019094
-1582.3111456403321,-134.6270000291433
-576.2626663124909,356.11310500485865
-1612.4882609784047,-131.64602759024018
-904.7715128421618,139.2138797230759
-1455.682799126701,-110.39781345889003
-1210.2392245040596,0.06396593471365009
14297.424022610934,5949.280428787411
16026.644848691834,8616.245990102145
7946.723925426388,-2620.929719904929
-1527.8375275524252,-136.9335948459833
11083.1419338862,-2493.478486714164
13672.963350013853,7316.821037530785
-861.8473876415625,-153.6221146390064
-702.3965755268671,-11.878913366948012
10875.767915087292,674.3419152514564
13988.004571953634,-3244.8051279531287
2267.9281368235297,-637.330737686647
1300.1984895532858,-378.6409047741057
-1335.007322274087,48.75425314099047
10642.493259584333,3800.623624728324
-793.3932732887027,85.06478664764288
-1683.460223026442,-164.52360675532168
326.73637978351167,-150.6397699335568
-908.2357027621423,-12.93437618192101
10975.985616630085,-2896.6966873167407
17644.050117683488,-1094.3602744178347
17461.282649460627,6179.004698745926
397.9720270017499,119.73345881250631
407.1953184322399,156.0212716820104
-1183.7143934260384,-75.46051149597241
-542.3827138155455,491.90675307143727
9400.3463567838,-1019.9074300207864
-1488.2922763821352,-62.525081472157865
-983.7980526669451,222.9637246392547
-917.2654782450265,159.83665359916907
-646.0462789431801,365.7993113094926
-984.1507507536841,-126.93020416298623
-832.18274129626,113.30422745004276
-640.194596820251,293.64956301296036
-1405.072986222459,-47.90344639942876
12561.973282149982,-793.7614246691903
10443.95632474415,2916.530995420727
30189.9274635995,15347.48180243823
-1657.1821798149322,-232.4892200880242
-599.8856533665364,331.9510001306312
12810.14642739792,169.93554000306344
-547.6847701385316,447.76569238199863
11084.739567564066,-2490.9158476570256
23045.29237391882,7814.75451988887
-1260.7966679601577,43.09028483440514
361.7965505889699,-19.741230749606416
25192.26321974198,4150.896455366766
-813.3978462291934,262.9013955808002
-891.3054565195943,255.52870938790275
8435.081553311027,-764.6174611882965
-1664.1376426844718,-173.77590442431566
-617.7762456436244,276.71076618803727
-1000.2704593789013,253.8661452828322
9061.064711778898,-2361.082427589055
9079.177279942756,-2277.728936190222
11428.393238870085,6758.072719198417
7205.624318844635,-1510.5916943341058
-625.6694764021358,118.4846081709043
13899.18052978682,-3620.3192257527194
-543.0432432601172,475.00938975561473
14599.152448287572,6998.864296114096
-827.67186300454,-5.7932286123186145
1395.495610806375,3.2948914259407047
14237.696199296617,-2278.674509632175
-1399.7080305492696,11.509495652712218
-1115.0963785952797,155.28922548773662
-1505.2181484651235,-144.50036361703508
20611.694515551684,6387.164598154461
7217.609752701057,-1511.7363732477725
-959.185456137703,-105.88313098023434
20616.028431553237,6394.115358255572
-849.6025276774201,273.7174942397902
-1128.068023478239,-191.2247435734348
-763.796317641067,51.02817663362444
18708.77670107359,11008.110457775689
8085.706523773222,-2093.696684466088
-1239.1240314330262,-169.6554743223568
7946.723925426388,-2620.929719904929
-727.1898792294999,374.16951865914507
7924.04966688475,-2707.0734098236803
-915.587583960102,-26.3837439562748
8179.432048093779,-1752.1810573944724
-1156.4948603231921,-93.96800798503891
-1108.2916835037295,63.62881867477384
11936.817628028106,-3161.9226521296687
-1130.051463855706,31.915454593142982
-662.9337931215148,35.52858166072647
3323.458602487627,-599.6484701660335
-905.3336345284476,15.726198831639522
-809.8679567366481,351.4067086710156
-1298.8026121954813,41.54460682032189
10010.82466167962,-2671.784673886485
1360.2649665911247,-151.63476979498964
10103.764507790536,-2281.1849552580184
9129.048173987527,-2039.3568930921542
8099.493518001407,-2043.8664702365957
-1414.1842656631811,-135.3907570400291
-1166.9300459528988,-121.90919513081359
-706.7666859075161,3.849553780290819
-697.5503723582742,303.6421229564087
10130.201679420798,-2229.170586097266
9928.007683712443,957.7055982907369
1386.5447248385838,-37.647954359117875
-782.1647142465953,-168.4737087517277
-836.3810077104542,231.03071519782546
-912.6723765915075,36.029140189299
-952.1715537964719,-323.07734360150437
-1377.665805337643,5.098757169737496
10091.68641656932,-2317.5265146099405
-599.1567400286899,373.7445290509007
295.0084652712542,-285.24394182986543
1655.8567702125385,986.5360686734144
-1168.7842118895655,-93.41290088960307
-1540.1117221408042,-75.50888553211001
17703.736536624616,7133.527817974355
9132.917726454982,-2021.2710902549172
-560.7191077962589,405.93167307891395
-1404.7234207249783,-118.02548907863249
-1284.0005201367603,31.548439223605925
24578.710515158302,-6247.66854904737
-792.4806643750692,11.817234402152849
-552.8798129226705,450.7474575040517
-1317.935709998296,-143.9699537176125
-656.4375448081178,438.73211061496556
-678.7651266579376,95.10545152565194
354.60559659159867,-43.71939271201646
11933.329194556121,-3203.1569858053595
17703.736536624616,7133.527817974355
-1206.5091823914204,-164.98041268267858
-535.3590411543491,404.17595852588624
-663.4758565530385,422.24780179157267
-1232.9295481223462,59.77581036770741
-1002.1480972536361,-104.02941195093631
8977.859849967199,5303.321275894633
-698.9683165258552,395.91385452950897
10452.249072300216,6995.915641699353
-1437.3813003188548,-114.42596844472179
-610.7567175380445,435.26143493074767
-1120.723245926185,25.450626150355475
-1171.4921441091578,-207.1541109829667
1393.7507981458873,0.49618600279572433
10891.492146728648,4765.64284118198
-903.5067843364759,286.56228862247474
10106.575836423464,-2256.3122522985445
-1657.1821798149322,-232.4892200880242
3371.3486838269173,-434.5975851652096
423.24394608773696,247.38019317090263
23049.66880860262,7821.773302816697
-1075.4491246577777,54.49578792798437
-1517.5576590790001,-219.91245767448675
-1165.411609335815,25.598280884585364
14800.82880074024,7887.99013587824
-768.2471558345454,-300.84231696721184
-568.8596237249776,374.7738967294363
-1402.374266415115,-72.14532309602697
-1331.1535363186372,-59.763108770245196
-802.1881433118757,174.062609756329
-777.7731137542364,-11.37029792354241
-894.8003052447901,232.31798820292508
400.49996505840795,104.55536467817106
-800.9898738886615,262.54252587990345
-1013.6864522302168,94.13896970358641
357.73562612050114,-26.25352974728048
-1315.2548529633414,47.54793422521763
-969.5464493963017,17.941661188650897
-1337.1511795352678,-43.18471695642094
-533.038119859757,517.0771403919126
7157.495438186319,-1778.981815522743
-853.7590102906317,103.27833866221599
440.3317481514671,274.78353975186326
-784.3189425993157,139.64234949772074
436.46024314987176,268.57470549455616
-1628.9931087381028,-146.65682517079733
-1510.5460635636534,-113.66269522889277
-594.3113315345056,397.9194388635359
8185.135922720641,-1731.1548475981506
14794.293126871242,-254.65736426521772
14799.131733884016,-246.8970646324515
-589.0746349002395,298.7977919224712
-559.0028367389889,449.6972045519243
12113.631776459522,-2644.1623591809966
15765.1263820354,7631.148861160865
-1459.847397587487,-149.60551263302807
-789.8075634868586,184.3713323784925
11140.849491590456,5731.236252806313
-862.2471407047374,10.535850162059035
-1697.8768866971782,-147.51096062903042
-1406.5154774096302,-22.887385214575517
-754.2545776908031,349.753039887672
-1380.4546407283678,-209.3988702754141
1400.4396158848538,11.224155692970555
404.6494560661183,151.93831409919082
-917.8214988147871,-24.80447113451234
447.2716581377133,285.9152017000797
6080.960026695514,-1866.7552277605184
8981.23156486886,-2641.284780200247
3332.3190533364614,-497.19236853785765
1364.5773947956757,-144.15381786827209
-1352.0440719352403,-200.04502853607525
-600.2428314050287,262.7830987576218
-1116.602903141198,64.16144766873438
-533.6866562444188,516.0351294477249
-1622.6653364817353,-133.75234328802196
-1159.2310519558255,63.510618693092994
3315.6435722140004,-556.1796263806245
-718.6637305738257,89.46176617537921
-1683.07783031923,-195.06297131145203
