num_voted_users,duration,budget,title_year,gross,num_user_for_reviews,num_critic_for_reviews,actor_2_facebook_likes,actor_3_facebook_likes,movie_facebook_likes,cast_total_facebook_likes,director_facebook_likes,actor_1_facebook_likes,director_frequency,content_rating_encoded,facenumber_in_poster,aspect_ratio,color_encoded,imdb_score
1.5578599136780595,2.2784330344027324,1.665631233851936,2009.0,1.8047377972082197,3054.0,1.8621555736783053,936.0,855.0,1.3845404078951642,0.1124825935844056,-1.5737516054552323,-0.3229854708289016,0.0013880626611144,7,0.0,1.78,1,1.4492913513642232
1.5578599136780595,2.2784330344027324,1.665631233851936,2007.0,1.8047377972082197,1238.0,1.3539909268926935,5000.0,1000.0,-1.0667439754607988,1.8709266979675965,1.1142525787248378,1.84336073081111,0.0013880626611144,7,0.0,2.35,1,0.5606820681596573
1.5578599136780595,1.9677355807622077,1.665631233851936,2015.0,1.8047377972082197,994.0,1.8621555736783053,393.0,161.0,1.5613502487077682,0.7203353550898409,-1.5737516054552323,1.0332198654547586,0.0015863573269879,7,1.0,2.35,1,0.2518546713366676
1.5578599136780595,2.2784330344027324,1.665631233851936,2012.0,1.8047377972082197,2701.0,1.8621555736783053,23000.0,23000.0,1.680327588566802,2.621743245841312,2.5459661005517766,1.5904223810258495,0.0015863573269879,7,0.0,2.35,1,2.1784221257556715
-2.315344060464678,-0.1213227269443654,0.046614577640623,2005.0,-0.0476491165203319,156.0,0.0306054703872217,12.0,371.5,-1.0667439754607988,-1.6726249530205513,0.5225001440534824,-1.3344268540219213,0.0001982946658734,9,0.0,2.35,1,0.5606820681596573
1.4863356534189498,1.2732170810812675,1.665631233851936,2012.0,1.0874775585598049,738.0,1.8621555736783053,632.0,530.0,1.3235252150526609,-0.4598593744512819,1.0458555585808471,-0.5555465020091543,0.0005948839976204,7,1.0,2.35,1,0.0533102880856078
1.5578599136780595,2.2784330344027324,1.665631233851936,2007.0,1.8047377972082197,1902.0,1.783899920261626,11000.0,4000.0,-1.0667439754607988,1.827529467188187,-1.5737516054552323,1.5157121432674998,0.0025778306563553,7,0.0,2.35,1,-0.3262546473227029
1.5578599136780595,-0.277861781835219,1.665631233851936,2010.0,1.8047377972082197,387.0,1.4658473915815051,553.0,284.0,1.3598762814693344,-0.4125332165320424,-0.3628764955801656,-0.4406659346034789,0.0001982946658734,6,1.0,1.85,1,1.3330111747201523
1.5578599136780595,1.6694773935208358,1.665631233851936,2015.0,1.8047377972082197,1117.0,1.8621555736783053,21000.0,19000.0,1.6211218551067192,2.4741882730563147,-1.5737516054552323,1.5664293672031409,0.0007931786634939,7,4.0,2.35,1,0.9931106905402188
1.5578599136780595,2.1758439038536563,1.665631233851936,2009.0,1.8047377972082197,973.0,1.7078793885144967,11000.0,10000.0,1.1517733062107074,2.0478763766749606,0.8350144292887419,1.5415493897555188,0.0007931786634939,6,3.0,2.35,1,0.9931106905402188
1.5578599136780595,2.2784330344027324,1.665631233851936,2016.0,1.8047377972082197,3018.0,1.8621555736783053,4000.0,2000.0,1.7129691664811084,1.2890201505333876,-1.5737516054552323,1.2224913087513014,0.0015863573269879,7,0.0,2.35,1,0.3533264811916016
1.5578599136780595,2.2784330344027324,1.665631233851936,2006.0,1.8047377972082197,2367.0,1.8621555736783053,10000.0,903.0,-1.0667439754607988,1.457469070557897,-1.5737516054552323,1.3353120034472257,0.0015863573269879,7,0.0,2.35,1,-0.4175106696792455
1.5578599136780595,0.0326247510477995,1.665631233851936,2008.0,1.8047377972082197,1243.0,1.831985779667216,412.0,393.0,-1.0667439754607988,-0.4161861072917803,0.9714501451884552,-0.7337720121618743,0.0015863573269879,7,1.0,2.35,1,0.1518501317630888
1.5578599136780595,2.093076668611954,1.665631233851936,2006.0,1.8047377972082197,1832.0,1.4105396122114178,5000.0,1000.0,1.0115148671971286,1.873442513067334,1.1142525787248378,1.84336073081111,0.0013880626611144,7,2.0,2.35,1,0.7739369323943041
1.3352314491785824,2.0514566605538493,1.665631233851936,2013.0,1.380321156553437,711.0,1.8621555736783053,2000.0,1000.0,1.4553536350746097,1.8217590922903109,1.1142525787248378,1.84336073081111,0.0013880626611144,7,1.0,2.35,1,-0.0437674631299329
1.5578599136780595,1.755545959651062,1.665631233851936,2013.0,1.8047377972082197,2536.0,1.8621555736783053,3000.0,748.0,1.6211218551067192,1.1473992231243637,-1.5737516054552323,1.2224913087513014,0.0015863573269879,7,0.0,2.35,1,0.6665708548892736
